net,fishID,species,tl,w,tag,scale
101,532,Black Crappie,320,508,1014,TRUE
101,533,Bluegill,213,190,,TRUE
101,534,Black Crappie,305,443,1016,TRUE
101,535,Black Crappie,307,440,1017,TRUE
101,536,Largemouth Bass,318,407,1019,TRUE
101,537,Black Crappie,287,379,1020,TRUE
101,538,Bluegill,216,198,1021,TRUE
101,539,Bluegill,216,210,1022,TRUE
101,540,Bluegill,231,258,1023,TRUE
101,541,Bluegill,193,138,,TRUE
101,542,Bluegill,226,236,1024,TRUE
101,543,Bluegill,163,75,,TRUE
101,544,Bluegill,224,229,1025,TRUE
101,545,Bluegill,178,101,,TRUE
101,546,Bluegill,180,110,,TRUE
101,547,Bluegill,239,295,1015,TRUE
101,548,Bluegill,183,113,,TRUE
101,549,Bluegill,211,191,1018,TRUE
101,550,Bluegill,191,139,,TRUE
101,551,Largemouth Bass,178,60,,TRUE
101,552,Bluegill,191,137,,TRUE
101,553,Bluegill,201,165,,TRUE
101,554,Bluegill,178,103,,TRUE
101,555,Bluegill,201,166,,TRUE
101,556,Bluegill,180,115,,TRUE
101,557,Bluegill,165,89,,TRUE
101,558,Bluegill,191,121,,TRUE
101,559,Bluegill,157,78,,TRUE
101,560,Bluegill,152,63,,TRUE
101,561,Bluegill,206,181,1075,TRUE
101,562,Bluegill,147,60,,TRUE
101,563,Bluegill,163,74,,TRUE
101,564,Bluegill,180,101,,TRUE
101,565,Bluegill,193,141,,TRUE
101,566,Bluegill,216,228,1074,TRUE
101,567,Bluegill,229,266,1073,TRUE
101,568,Bluegill,168,93,,TRUE
101,569,Bluegill,163,74,,TRUE
101,570,Bluegill,165,82,,TRUE
101,571,Bluegill,231,274,1072,TRUE
101,572,Bluegill,201,151,,TRUE
101,573,Bluegill,188,129,,TRUE
101,574,Bluegill,175,98,,TRUE
101,575,Bluegill,145,57,,TRUE
101,576,Bluegill,152,62,,TRUE
101,577,Bluegill,175,107,,TRUE
101,578,Bluegill,221,240,1071,TRUE
101,580,Bluegill,178,110,,TRUE
101,581,Bluegill,211,208,1069,TRUE
101,583,Bluegill,140,48,,TRUE
101,585,Bluegill,173,96,,TRUE
101,586,Bluegill,152,73,,TRUE
101,587,Bluegill,213,198,1066,TRUE
101,588,Largemouth Bass,221,117,,TRUE
101,589,Bluntnose Minnow,64,1.4,,FALSE
